,0,0,0
0,0,0,1
1,0,1,0
2,0,1,0
3,0,1,0
4,0,0,1
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,0,1,0
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,0,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,1,0,0
41,0,0,1
42,1,0,0
43,1,0,0
44,0,0,1
45,1,0,0
46,0,0,1
47,1,0,0
48,1,0,0
49,1,0,0
50,0,0,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,1,0
58,0,0,1
59,0,0,1
60,0,1,0
61,0,0,1
62,0,1,0
63,0,1,0
64,0,0,1
65,0,0,1
66,0,0,1
67,0,0,1
68,0,0,1
69,0,1,0
70,0,0,1
71,0,1,0
72,0,1,0
73,0,0,1
74,0,0,1
75,0,0,1
76,0,0,1
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,0,1
86,0,0,1
87,1,0,0
88,1,0,0
89,0,0,1
90,0,0,1
91,1,0,0
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,1,0,0
97,1,0,0
98,1,0,0
99,0,0,1
100,0,1,0
101,0,0,1
102,0,0,1
103,1,0,0
104,0,0,1
105,0,0,1
106,0,0,1
107,0,0,1
108,1,0,0
109,0,0,1
110,1,0,0
111,1,0,0
112,0,0,1
113,0,0,1
114,0,0,1
115,1,0,0
116,1,0,0
117,0,0,1
118,1,0,0
119,1,0,0
120,0,0,1
121,1,0,0
122,1,0,0
123,1,0,0
124,0,0,1
125,1,0,0
126,0,0,1
127,0,0,1
128,1,0,0
129,1,0,0
130,1,0,0
131,0,0,1
132,0,0,1
133,0,0,1
134,0,0,1
135,0,0,1
136,0,1,0
137,0,0,1
138,0,1,0
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,0,1
147,0,0,1
148,0,0,1
149,0,0,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,1,0,0
160,0,0,1
161,1,0,0
162,1,0,0
